date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:49	5648/5648	---M--	200	added ('OK')	application/javascript	etag:%22fcd53b5049518169d9908416c50520c6%22	https://s3.ap-northeast-2.amazonaws.com/vegas-kor-o/sdk/web/vegastracker.min.js	F:/ragnarok-origin.com/ragnarok-origin.com/s3.ap-northeast-2.amazonaws.com/vegas-kor-o/sdk/web/vegastracker.min.js	(from https://ragnarok-origin.com/)
16:26:49	6830/6830	---M--	200	added ('200')	text/javascript	etag:W/%226830-1655272691477%22	http://api3.tnkfactory.com/tnk/js/tnk-webapi-cpatrack.1.4.js	F:/ragnarok-origin.com/ragnarok-origin.com/api3.tnkfactory.com/tnk/js/tnk-webapi-cpatrack.1.4.js	(from https://ragnarok-origin.com/)
16:26:50	2328/2328	---M-Z	200	added ('OK')	application/javascript	etag:%223f401e-918-5ccb863ebcd80%22	https://scr.nsmartad.com/nswitch/npr_track/npr_track.js	F:/ragnarok-origin.com/ragnarok-origin.com/scr.nsmartad.com/nswitch/npr_track/npr_track.js	(from https://ragnarok-origin.com/)
16:26:51	19591/19591	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:54%20GMT	https://ragnarok-origin.com/News/Recent	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/News/Recent.html	(from https://ragnarok-origin.com/)
16:26:52	14495/14495	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:55%20GMT	https://ragnarok-origin.com/GameIntro/WorldView	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/GameIntro/WorldView.html	(from https://ragnarok-origin.com/)
16:26:53	20333/20333	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:55%20GMT	https://ragnarok-origin.com/GameIntro/Jobs	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/GameIntro/Jobs.html	(from https://ragnarok-origin.com/)
16:26:53	22640/22640	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:56%20GMT	https://ragnarok-origin.com/GameIntro/AreaAldebaran	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/GameIntro/AreaAldebaran.html	(from https://ragnarok-origin.com/)
16:26:53	18954/18954	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:56%20GMT	https://ragnarok-origin.com/GameIntro/GameGuide	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/GameIntro/GameGuide.html	(from https://ragnarok-origin.com/)
16:26:53	21723/21723	---MC-	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202022%2009:26:56%20GMT	https://ragnarok-origin.com/Support/Faq	F:/ragnarok-origin.com/ragnarok-origin.com/ragnarok-origin.com/Support/Faq.html	(from https://ragnarok-origin.com/)
16:26:54	53273/53273	---M--	200	added ('OK')	image/png	etag:%22f08e0d5c9c2432e7c475c85e53e93fde%22	https://d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/nav_wrap.png	F:/ragnarok-origin.com/ragnarok-origin.com/d38r36tibovzs2.cloudfront.net/games/roona/20220524ZFCK/web/images/nav_wrap.png	(from https://ragnarok-origin.com/)
